song_names , artist_names
Betty boom , Eric Charden
Betty boom boom , André Burton accompanied by Pascal Gutman
Betty Bossy , Sarclo
Betty from Manchester , Georgie Viennet
Betty ' s sister , Charlotte etc.
Her name is not Betty , Frédéric Château
Hey miss Betty , Chihuahua
Lola or Betty , Milou Largo
When Betty goes boop , Joël Daydé
The return of Bloody Betty , Dionysus
Betty Jane Rose , Bijou
Betty Lou , The Breastfeeders
Bianca's feast , Matmatah
Bilal , Soso Maness
Bill , Mathieu Boogaerts
Bill , Daniel Seff
Bill Bailey , Johnny Hallyday
Bill and Bill , Oldelaf and Monsieur D
Bill and Joe , La Bande à Basile
Bad Bill , Vincent Malone
The ballad of Bill Brillantine , Eddy Mitchell
Eh Bill , Patrick Verbeke with Bill Deraime
Big Bill , Fred Fortin
Lilly and Bill , Sidewalk Blues
Mr. Bill , Simon Gerber
Ti ' Bill , Martin Circus
Billie , Pierre Barouh
Billie , CharlÉlie Couture
Billie , The Infidels
Billie , M
Billie boiled , Néry
Billie's Ballad , Alexandra Roos
Billie's Blues , Jane Fostin
Billie Jean , Mathieu Boogaerts
Billy , Patrick Abrial
Billy , Vincent Absil
Billy , Jacqueline Danno
Billy , André Dassary
Billy , Celine Dion
Billy , Julie Masse
Billy , John William
Billy , Nanette Workman
Billy Baya blues , Georges Thurston
Billy Bob , Jacky Galou
Billy boogie , Arlette Zola
Billy boy , Jean Bretonnière
Billy boy , Gaëtan
Billy boy Bill , Patrice and Mario
Billy the footballer poodle , Vava
Billy the funkyman , Miro
Billy the kid , Matioszek
Billy loves me , Alain Souchon
Billy cleans his saxophone , William Sheller
Billy the rockstar , Stress
Billy the Kid , Long Chris
At Quai Billy , Michel Tonnerre
Billy's balloon , Angel
Hard to be Billy , Stress
Jeannot and Billy , Dany Des Rues
Rabbit Billy , The Beets
Rabbit Billy Goes to War , Ludwig Von 88
Oh ! Billy oh! , The Étienne Sisters
Billy's prayer , Miro
Rock Billy , Michel Pagliaro
The rock Billy and The boom Billy , Billy
Rock to Billy , Superbus
Old Billy , Denis Pépin
Bilou , Denise Benoit
Bilou , Allain Leprest
Blaise , The Skalopes
The song of Blaisine , Jacques Douai
Blake , Jim Corcoran and Bertrand Gosselin
Blanche , Enzo Enzo
Blanche , Pierre Perret
Blanche , Michel Rivard
Blanche , David TMX
Blanche et Gaspard , Explosion de Caca
Blanche came from Dordogne , Hervé Vilard
Blanche's sheep , Mannick
I walk Blanche , Albert Delchambre
Maurice and Blanche , Nathalie Solence
Rose and Blanche , Henri Tachan
The blues of Blanche , Pierre Vassiliu
Blandine , Daniel Facérias
Blandine , Marie Laforêt
Blanka , PNL
Blondie , Daniel Seff
Blondine , André Claveau
Blondine , Tino Rossi
Bob , Holden
Bob , Penelope
Bob and Fanny , Élisabeth Anaïs
Bob and Jack , The Badgers
Bob and Linda , The Louis' Trio Affair
Bob the Prophet , CharlÉlie Couture
The extraordinary adventures of Bob and Ophélie , Ophélie Winter
Bobettes Bob , Pépé and his guitar
As Bob says , The Wampas
My friend Bob , Boris Bergman
O 'relief Bob , Martin Circus
Bobbie , Didier Barbelivien
Bobbie , Fred Fortin
Bobby , Sophie Darel
Bobby , Ginette Reno
Damn Bobby , Jeane Manson
My little Bobby , Anne Sylvestre
Mr Bobby , Manu Chao
Poor Bobby , Roger Secco with the group Clin d'Œil
Hi Bobby , Georges Hamel
Bobo , Crëche
Boby , Loane
Boby , Pierre Louki
Boby ' s , Les Bidochons
Boby darling , Emily Loizeau
Monsieur Boby , Colette Renard
Bonaventure , Jofroi
Bonaventure 61 , Pierre Calvé
Bonita , Master Gims
Bonnie the looser , Philippe Lavil
Bonnie , Jali
Bonnie , Odezenne
Bonnie , Damien Saez
Bony Moronie , Vic Laurens
Boris and Natacha , Line & Willy
The awful little Boris , The Hams
Hello Boris , Hélène Fillières
Chez Boris , Paul Braffort
Fat Boris , Dominique A
My beautiful Boris , Georges Milton
Bosco , Henri Tachan
Bosco's stomp , Zachary Richard
Boubou , Nicolas Pellerin
Don't cry Boulou , Pierre Bachelet
My name is Brahim , Lilian Renaud
Brian , Dominique Dalcan
BriBri , Pascal Auberson
Brigitte , Sacha Distel
Brigitte , Elmer Food Beat
Brigitte , EXterio
Brigitte , Brigitte Fontaine
Brigitte , The Rust
Brigitte B. Cambodian , The Smashing Mouse
Brigitte is telling the truth , Camélia Jordana
Brigitte policewoman , AMER Ministry
Brigitte my sister , Pascal Héni
In Brigitte's garden , Patrick Font and the Compagnie du Chalet
BB for Brigitte , Alain Kan
Madame Brigitte Bélanger , Lynda Lemay
Song for Brigitte , Richard Dewitte
Britney , Rue de la Muette
Bruce is in the fog , Christine and the Queens
Brown , Berry
Brunette , François Corbier
Bruno , Franck Monnet
Claire and Bruno , Anne Sylvestre
From Bruno to Théo , Guy Bonnet
I think of Bruno , Christian Merveille
Our friend Bruno , Rock and Belles Oreilles
Bubu , Denis Alber
Poor Buddy River , Gilles Marchal
Bubble , Les Howls d'Leo
Bulle , Odieu
Buster K. , Jacques Higelin
Butch , Jack Dupon
Caldonia , Eddy Mitchell
Câline , François Valéry
Dodo ma Câline , Hélène Bohy
Miss Calypso , Denise Filiatrault
Ulysses and Calypso , Arthur H
Camellia , Matthieu Mendès
Aunt Camilienne , Renée Claude
Camille , XII Alfonso
Camille , Didier Barbelivien
Camille , Christian Camerlynck
Camille , Jeanne Cherhal with Matthieu Bouchet
Camille , Georgius
Camille , Hocus Pocus
Camille , Yves Matrat
Camille , Malek
Camille , Mistinguett
Camille , Serge Reggiani
Camille , Florent Richard
Camille , Anne Sylvestre
Camille , Mama Béa Tekielski
Camille III and Camille IV , Tangier
Camille the caterpillar , Carmen Campagne
Camille or François , Françoise Kucheida
Camille falls asleep , Pascal Obispo
Camille wears makeup , Cédric Gervy
Farewell Camille , Marc Lavoine with Julie Depardieu
Song for Camille , Michel Bühler
The hammers of Camille , Véronique Pestel
The kid Camille , Alibert
Poor Camille , Gribouille
Aunt Camillienne , Renée Claude
Candice , Nicole Croisille
Candice , Herbert Leonard
Candice song , Bruno Grimaldi
Candida , Herbert Leonard
Candie , Leonie
Candy , Émile Bilodeau
Candy , Poop Explosion
Candy , Anny Gould
Candy , Roger Hanin
Candy , Donald Lautrec
Candy , Lili Fatale
Candy , Stone
Candy is growing up , Marie Myriam
Candy takes her gun , Indochina
In Candy's country , Vava
Sweet Candy , Claude François
Little Candy , The Wriggles
Cinnamon , Amadeus Tappioka
Capucine , Aldebert with Zaz
Capucine , Bertrand Belin
Carina , Lucienne Delyle
Carina , Cecile Devile
Carina , Annie Fratellini
Carina , Georges Guétary
Carina , Rudy Hirigoyen
Carina , Francois Lubiana
Carina , Claude Piron
Carina , Claude Robin
Carina , Caterina Valente
Carina mia , André Dassary
Carla , Manu Larrouy
Carla , Eddy Mitchell
Ask Carla , Elmer Food Beat
For Carla , Yves Matrat
Lullaby for Carlitos , Juliet
Carlo , Erik Arnaud
Carlos cocorico , Carmen Campagne
In Carlos' basement , André
Carlotina , Tino Rossi
Carlyne , Tal
Carmelina , Experiment 7
Carmelita , Grand Jojo
Carmelita , Georges Guétary
Carmen , Lucien Lupi
Carmen , Vincent Niclo
Carmen , Patachou
Carmen , Daniel Seff
Carmen , Francois Valéry
Carmen ' story , Édith Piaf
To Carmen Amaya , Catherine Delasalle
Tonight Carmen , Paul Brunelle
Homage to Carmen , Edgar of the East
Carmencita , Nino Ferrer
Carmencita , Bernard Lavilliers
Carmencita , Jacques Yvart
Carmenita , Chloe Stefani
Carmilla , Louise Feron
Carmina , EZ3kiel
Carol , Élisabeth Anaïs
Oh ! Carol , Claude Piron
Mam'zelle Carola , Lina Margy
Carole , Captain Noh
Carole , Jesse Garon '
Carole , Tino Rossi
Carole has a canary , Angèle Arsenault
Carole galore , Antoine Gratton
Song for Carole , C. Jérôme
OK Carole , Bijou
Carolena , David Koven
Carolina bella , Alibert
Oh ! Carolina , Carlos
Caroline , Barcella
Caroline , Guy Béart
Caroline , Denis Champoux
Caroline , Caroline Cler
Caroline , Jean Constantin
Caroline , Gérard Darmon
Caroline , Suzy Delair
Caroline , Fréro Delavega
Caroline , Abbittibbi
Caroline , Lucie Dolène
Caroline , Elmer Food Beat
Caroline , Maurice Fanon
Caroline , Les Forbans
Caroline , The Butchers Boys
Caroline , Danyel Gérard
Caroline , Francois Guy
Caroline , Georges Hamel
Caroline , C. Jérôme
Caroline , Pierre Lalonde
Caroline , Gérard Lenorman
Caroline , Marka
Caroline , MC Solaar
Caroline , Dominique Michel
Caroline , Gilbert Montagné
Caroline , Moune de Rivel
Caroline , The Pirates
Caroline , Henri Salvador
Caroline , Triangle
Caroline , Lucienne Vernay
Caroline , Vianney
Caroline with blue eyes , Arthur Ferrari
Caroline des Yvelines , Yves Simon
Caroline is angry , Dany Brillant
Caroline is nice , Audrey
Caroline is nice , François Lubiana
Caroline and I , C. Jérôme
Caroline Oh Yeah Hey! , Summer
Caroline the prostipute , Tulaviok
Caroline the whore , Pierre Perret
Caroline's lullaby , André Claveau
Cousin Caroline , Bernard Sauvat
Funny Caroline , Philippe Léotard
Her name was Caroline , Mistinguett
Don't do that Caroline , Tohama
Hello Caroline , Antoine Tomé
Isabelle and Caroline , Roger Whittaker
I drank too much Caroline , Lucky Blondo
They call me Caroline , Annie Duparc
The portrait of Aunt Caroline , Henri Salvador
Carolyne , Black Swan
Carolyne , Jeanne Mas
Carrie , Christophe
Casimir , Bourvil and Georges Guétary
Cassandre , Bensé
Cassandre , Bertrand Betsch
Cassandre , Marc Ogeret
To Cassandre , Georges Chelon
The Ashes of Cassandra , The Tit 'Nassels
Ode to Cassandra , Antoine Tomé
The Roses of Cassandra , Francisco Grandey
Hazelnut and Cassidy , Joe Dassin
Catalina , Pierre Flynn
Lament of Catalina , Daniel Facérias
Caterina , Maya Casabianca
Caterina , Sacha Distel
Caterina , Paolo Noël
Well done Caterina ! , Caterina Valente
Catheline , Benoit Blue Boy
Catherine , Alibert
Catherine , Arseniq 33
Catherine , Jacques Pepino
Catherine , The Companions of Song
Catherine , Aimé Doniat
Catherine , Jean Lumière
Catherine , Jacques Pepino
Catherine , Pony del Sol
Catherine , Bill Pritchard
Catherine , Marc Robine
Catherine , Romuald
Catherine , William Sheller
Catherine , René Simard
Catherine , Georges Ulmer
Catherine of Siena , Daniel Facérias
Catherine de Targidou , Fernand Robidoux
Catherine leaves , Laurent Voulzy
Catherine knows what to do , Raoul Roy
The beautiful Catherine , La Bottine smiling
Hello Catherine , Caterina Valente
The Cantilene of Catherine , Jo Lemaire
Katy Katia Catherine , Caterina Valente
The Catherine , Batlik
La Catherine , Les Cowboys fringants
My Catherine , Philippe Lafontaine
We liked you Catherine , Simone Langlois
Little Catherine , Billy Bridge
Wanted Catherine , Catherine Falgayrac
Catherinette , André Claveau
Catherinette and candy , Le Rêve du Diable
Cathy , Alain Barrière
Cathy , Serge Lama with Mr. Christophe
Cathy , Véronique Rivière
Cathy , Tulaviok
Cathy takes the train , Graziella from Michele
In front of Cathy , Olivier Despax
Joe and Cathy , Patrick Coutin
My friend Cathy , Marcel and his Orchestra
Robert and Cathy , Sttellla
Tendre Cathy , Christian Delagrange
Catiline , Christian Décamps
Cecile , André Borbé
Cecile , Julien Clerc
Cecile , Marc Gauvin
Cecile , David Tétard
Cécile and Céline , Anne Sylvestre
Cécilo my Cécile , Goun & Friedemann
Lazare and Cécile , Michèle Bernard
Lazare and Cécile , Mannick
Lazare and Cécile , Anne Sylvestre
Cecilia , The Chantovents
Cecilia , Joe Dassin
Cecilia , Franck Fernandel
Cecilia , Les Forbans
Cecilia , Frédéric François
Cecilia , Normand Gélinas
Cécilia , Les Ignobles du Bordelais
Cecilia , once upon a time
Cecilia , Henri Salvador
Bell Cécilia or Belle Cécilia , Moune de Rivel
Cécilou , Anne Sylvestre
Celesta , BB Brunes
Celeste , Daniel Bélanger
Celeste , Damien Saez
Celestin , Sophie Makhno
C like Célestin , Standing on Zinc
My uncle Célestin , Magali Noël
Celestine , Fernandel
Celestine , Eric Mie
Celestine , Anne Sylvestre
The song of Ernest and Celestine , Thomas Fersen
Celia , Paul Person
Celimene ! , Ray Ventura and his College students
Célimène , David Martial
Célimène , Patrick Zabé
Célimène is in a cage , Polo
A cantilena for Célimène , Misanthrope
Céline , Alaclair Ensemble
Celine , Abd Al Malik
Celine , Alain Bashung
Céline , The Companions of the Song
Celine , Manu Larrouy
Celine , Vincent Malone
Celine , Gilles Marchal
Celine , Frank Michael
Celine , Mononc 'Serge
Céline , Édith Piaf
Céline , Kabyle smile
Celine's Canticle , Pierre Éliane
Cécile and Céline , Anne Sylvestre
Tell me Celine , Alain Dion
Céline's funeral , Pierre Delorme
I'm Celine , Sttellla
Sweet my Celine , Nicole Rieu
Cinderella , Pascal Auberson
Cinderella , Louis Bertignac
Cinderella , Patrick Font
Cinderella , C. Jérôme
Cinderella , Max Rongier
Cinderella , Henri Salvador
Cinderella , Phone
Cinderella , Carole Vernay
Cinderella after midnight , Stephan Eicher
Cinderella with cotton , Diane Dufresne
Cotton Cinderella , Nolwen
Chinatown Cinderella , Alain Bashung
Cinderella of achelemas , Éric Kristy
Cinderella did not come , Laurent Rossi
Cinderella rock , Michèle Torr
Snow White and Cinderella , Flagrant Delirium
The Lady Cinderella , Yvan Dautin
Lady Cinderella , Francesca Solleville
He was a Cinderella , Les Ménestriers
Don't take yourself for Cinderella , Adamo
They call me Cinderella , Chantal Goya
Rock Cinderella , Pierre Éliane
Cendrinette , Les Compagnons du large
Cherry , Barcella
Cherry , Jo Lemaire
Cherry , Robert
Caesar , Jeanne Cherhal
Caesar , Alexis HK
Caesar my friend , Robert Ripa
Being César , Didier Barbelivien
We must go to César , Georges Chelon
Meet Caesar , Jean Vallée
Miss Chang , Michel Berger
Chany , The Alexandrians
Chantal , Marcel and her Orchestra
Farewell Chantal , The Chameleons
Farewell Chantal , Zabriskie Point
Mickey and Chantal , April March
Parents at Chantal , La Souris Déglingués
Hi Chantal , Stefie Shock
Tata Chantal , The Sunday Song
Le reel à Charlélie , Suroît
Charles , Amel Bent
Charles , Bouskidou
Charles , Jeanne Cherhal
Charles is stoned , Alizée
Charles and Lucie , Pierre Perret
Big Charles , Majster
Song for Charles , Isabelle Roy
Lament of Charles , Danielle Darrieux
His name is Charles Gauthier , Noëlle Cordier
Marie and Charles , Georges Guétary
Speaks Charles , Miro
Song for Charles , Dave
Charley and Tom , R.wan
Charlie , Hervé Cristiani
Charlie , Robert Cogoi
Charlie , Annie Cordy
Charlie , Claire Diterzi
Charlie , Claire Elzière
Charlie , Emily
Charlie , Suzanne Gabriello
Charlie , Gangsters of Love
Charlie , Michel Mallory
Charlie , Black Desire
Charlie , No One Is Innocent
Charlie , Serge Reggiani
Charlie , Gilles Rivard
Charlie , Pierre Vassiliu
Charlie , Émile Wandelmer
Charlie Charlie , Eddy Mitchell
Charlie Fraivaux , Marousse
Charlie the cycling cat or Charlie the cat , Vava
Charlie Lee , Tex Lecor
Charlie The Model , Barbara Carlotti
Charlie turquoise , David Koven
Boppin ' Charlie , Patrick Verbeke
Charlie's Cabin , Raymond Fau
Chanchan and Charlie , Cloé du Trèfle
Charlie Hat , Pierre Éliane
Chérie and Charlie , Louis Bertignac
Dodo Charlie , Milou Largo
La Julie à Charlie , Pierre Perret
Hands off Charlie , Nancy Holloway
Oh Charlie darling , Brigitte
Uncle Charlie , Cécile Devile
Papa Tango Charlie , Mort Shuman
When Charlie plays the saxophone , Dani
Hi Charlie , Johnny Hallyday
Completed Charlie , Pierre Perret
Go tell Charlie , Kent
Charline darling , Charline Rose
Charlot , Jean Vallée
Charlot l'bochu , Les Capenoules
The lament of Charlot , Les Quatre Barbus
Charlotte , Michel Admette
Charlotte , Roméo Praly
Charlotte , Henri Salvador
Charlotte , Michèle Torr
Charlotte Carrington , Vincent Delerm
Charlotte de Pantin , Christian Paccoud
Charlotte for ever , Charlotte Gainsbourg with Serge Gainsbourg
Charlotte hot step , The Primitives of the future
Charlotte Marie , Jesse Garon '
The ballad of Charlotte , Gérard Morel
Candide Charlotte , La Ruda
Grandma Charlotte , Alain Schneider
Little Charlotte , Henri From
Shush shush Charlotte , Serge Gainsbourg
Signed Charlotte , Caterina Valente
Go see Aunt Charlotte , Hugues Aufray
Charly , Bouskidou
Charly , Michel Bühler
Charly , Stephan Eicher
Charly , Catherine Lara
Charly , Anne Léonard
Charly , Christophe Maé
Charly Charly , Greg Zlap
Charly does her shopping , Yan and the Bees
Dance Charly , Billy
Tell me Charly , Michel Lalonde
Tell me about Charly , Rosalie Dubois
The voice of Chet , Élisa Point
Cheyenne , Nâdiya
Cheyenne , Private Louis
Chico , Agnès Chaumié
Chico , Annie Dufresne
Chico , KDD
Chico was not afraid , Gérard Jaffrès
Chimen , Orlane
Chimène , René Joly
Chimène and Rodrigue , Jeanne Mas with J. Cordell
Petite China , Dominique Dimey
Chiquita , Armande Altaï
Chiquita , Cookie Dingler
Chiquita , Frédéric François
Chiquita , Enrico Macias
Chiquita madame , Joséphine Baker
The guitar of Chiquita , Lucille Dumont
Tchikita , Jul
Chiquitita , Nana Mouskouri
Chloe , Hugues Aufray
Chloe , Dominique Dimey
Chloe , Mylène Farmer
Chloé , Jofroi
Chloe , Élisa Point
Chloé des Lysses , Tangier
Chloe , Standing on the Zinc
Marcelle and Chrysostome , Claire Pelletier
Interlude to Christel , Ycare
Christelle , Canardo
In the beautiful eyes of Christelle , Patrick Font and La Compagnie du Chalet
The sadness of Christelle , Colette Magny
The ballad of Christian , Hugues Aufray
Christiana , Jeanne Balibar
Christiansen , France Gall
Christie , Léo Ferré
Christie , Joan Pau Verdier
Christina , Anaïs
Christina , Christophe
Christina , Diane Juster
Christina , Patachou
Christine , Burt Blanca
Christine , Christine and the Queens
Christine , Font and Val
Christine , Marc Gélinas
Christine , Frédérik Mey
Christine , Les Respectables with Papillon and Steve Hill
At Christine's wedding , Carmen Maria Vega
Letter to Christine , François Valéry
Christine's house , Andrée Simons
Christine's passion , Mike Ibrahim
Christophe , Arbadétorne
Christophe , The Smiling Bottine
Christophe , Bouskidou
Christophe , Orelsan and Maître Gims
Christophe and the shepherdess , Paul Barrault
Thank you Christophe , Georges Chelon
The case Tof , Dany Des Rues
Christopher , Chris Combette
Christopher , Véronique Sanson
Chrystelle is sad , Renaud Hantson
Cinderella , Ringo
Cinderella , Dick Rivers
Cindie , Savel
Cindy , The Companions of the Song
Cindy , C. Jérôme
Cindy , Tino Rossi
Cindy , John William
Cindy girl , Jeanne Mas
The boom to Cindy , Marcel and his Orchestra
Cinthia , Sabrina Lory
The fate of Circe , Juliet
Claire , Jacques Bertin
Claire , Chevalrex
Claire , Mr. Clément
Claire , Robert Demontigny
Claire , Nino Ferrer
Claire , Frédérik Mey
Claire , Philippe Timsit
Claire , Hervé Vilard
Claire and Bruno , Anne Sylvestre
Claire de la dune , Georges Langford
Claire of the moon , Pierre Souchon
Claire in the dark , Bensé
Arrivederci Claire , Frédéric François
Claire's horse , Pierre Éliane
I followed Claire , Pierre Éliane
Jules and Claire , Martin Léon
The return of Claire , Michel Delpech
Clara , Bertrand Bitz
Clara , Franck Fernandel
Clara , Serge Lama
Clara , Charles Level
Clara , Oldelaf
Clara , Greg Zlap
Clara's Lullaby , Claude Fonfrède
Good evening Clara , Michel Sardou
Clara's song , Michel Jonasz
Clara's Gardens , Guylaine Guy
O donna Clara , Fred Gouin
Clarice , Daniel Beretta
Clarisse , Daniel Hélin
Clarisse , Valérie Mischler
Claude , Vincent Vallières
Le Claude said , Pierre Selos
Da Vinci Claude , MC Solaar
Miss Claude , Gilles Dreu
Monsieur Claude , Art Mengo
Little Claude , Frédéric Fromet
Claudette , Johnny Farago
The tango of Claudette , Michèle Bernard
Ti Claudette , The Aiglons
Claudia , Chaplain from Côtes d'Armor
Claudia , Renée Claude
Claudia , Joël Denis
Claudia , Serge Lama
Claudia , Northern neighborhoods
Claudie , Eric Charden
Miss Claudie , Johnny Hallyday
Claudine grew up , Michel Delpech
Claudine de Grenelle , Anny Flore
Claudine pianote , Mathé Altéry
Paco loves Claudine , Franck Monnet
Claudius , Christian Marin
Claudy , Frank Alamo
Rudy and Clélia , Didier Odieu
Clemence , Christine Authier
Clemence , Johnny Hallyday
Clémence , The Biques Players
Clemence , Cyril Lefebvre
Clémence , Doctor Merlin
Clemence , Gérard Lenorman
Angry Clemence , Christian Paccoud
Clémence on vacation , Jann Halexander
Without Clemence , Clara Morgane
The cherries of Monsieur Clément , Michel Fugain
In the eyes of Clément , Henri Tachan
Mr. Clément , Bernard Sauvat
Clementine , Richard Anthony
Clementine , Marie Dauphin
Clementine , Michel Deshays
Clementine , Annie Fratellini
Clementine , Frank Gerald
Clementine , Raymond Girerd
Clementine , Grand Jojo
Clementine , Sylvie Laliberté
Clementine , Jacques Martin
Clementine , Yves Montand
Clementine , Jacques Normand
Clementine , Pierre Perret
Clementine , Michel Tonnerre
Clementine , Georges Ulmer
Clémentine dream , Éric Bélanger
Mechanical Clementine , Brigitte Bop
Clementine Pepin , Gilles Marchal
Nursery rhyme for Clémentine , Jean Ferrat
My darling Clementine , Lucky Blondo
Cléo , Bouskidou
Cléo , Mitsou
Cleopatra , The Sinners
Clo story , Yves Simon
Cloclo the bell , Léo Ferré
Maline Cloé , Marc Gauvin
Clotilde , Franck Fernandel
Clotilde , Michou
Clotilde , Urban
Clotilde , Philippe Val
Clovis , Les Petites Tounes
Clovis is back , Leny Escudero
Clyde , Cafe Bertrand
Coco , Cali
Coco , Maria Candido
Coco , Castelhemis
Coco , Padam
Coco , Patrick Verbeke
Coco and Co , Serge Gainsbourg
Cuddly coconut , Julien Doré
Coco and I , Jean Richard
Coco the Corsair , Johnny Hess
La Coco , Fréhel
Tell me Coco , Antoine
Listen to Coco , Eddy Mitchell
My name is Coco , Goun
Yeah Coco , Romeo Praly
Sacred Coco , Francesca Solleville
Cody , Kaolin
Colas at the theater , Liz Van Deuq
Colette , The Companions of the Sea
Colette , Francois Morel
Colette the weasel , Carmen Campagne
Lullaby to Colette , Georges Chelon
Goodbye Colette , Lucky Blondo
Colin , Émile Bilodeau
Colin and Colinette , Lionel Rocheman
Sleep Colin , André Claveau
Colinda , Edith Butler
Colinda , Dick Rivers
Colinda , Zachary Richard
Coline , Barbara
Coline , Richard Berry
Song by Coline , Henri From
Colin and Colinette , Lionel Rocheman
Dove , Amylie
Colombe , Lucienne Boyer
Colombe , François Deguelt
Colombe , Fernand Gignac
Dove , Johnny Hess
Dove and the Flood , Mannick
Columbine , Amadeus Tappioka
Colombine , Marc Aryan
Colombine , James Ollivier
Columbine and Columbine , Richard Gotainer
Colombine and sax , Marcel Amont
Pierrot and Colombine , Jean Vallée
Colombine's Dream , Rina Ketty
The Sundays of Conchita , Michèle Arnaud
Senorita Conchita , The Brothers at Ch'val
The beautiful Conga , Tino Rossi
O Connie , The Missiles
Constance , Georges Thurston
The ballad of Constance , Les Charlots and Joséphine Chaplin
Consuelo , Marc Gélinas
Consuelo , Alain Souchon and Laurent Voulzy
Cookie , Jean Leloup
In the land of Coralie , Marc Vincent
Coraline , Georges Guétary
Cordelia and Tiphone , Rose Ouellette
Corentin , Jacques Bertin
Corentin , Les Binuchards
Corine , AS Dragon
Corine , The Steel Shrimp
Corine , Antoine Tomé
Corinna , The Ogres of Barback
Corinne , Mathieu Boogaerts
Corinne , Matioszek
Corinne , Padam
Corinne , The Unknown Soldier
Corinne , Les Nonnes Troppo
Corinne , The sales representatives
La Corinne , Pierre Perret
Cornelia , Jorane
The funeral of Cornelius , Gilbert Bécaud
Cosette , Marc Ogeret
Ballad for Cosette , Chantal Goya
Jolie Cosette , Greg Zlap
Cricri , Alice Dona
Cristina , Fred Alpi
Cristina , Vincent Delerm
Cristina , Daniel Facérias
Cristobald , Malajube
Cunegonde , Fernandel
Cunegonde , Luis Mariano
Achilles and Cunégonde , Sim
Cybele , Bertrand Gosselin
Cybelia , Frédéric Lerner
Cyndi , Charlélie Couture
Cyndie , Charlélie Couture
Cynthia , M. Pokora
Cynthia , Ringo
Cynthia I love you , Fernand Robidoux
Cynthia on her couch , Vincent Caza
Tango at Cyprien , Gérard Dôle
Cyrano , Edgar Bori
Cyrano , Jean Lapointe
Cyrano , Serge Reggiani
Cyrano knew that , Henri From
Cyril , Sexy Sushi
Cyril the virile , Dany Des Rues
Le reel à Dadette , Gilles Vigneault
Daisy , Richard Anthony
Daisy , Christophe
Daisy , Special Edition
Daisy , Michel Fugain
Daisy , Francis Linel
Daisy , Marie France
Daisy , Niobe
Daisy , Joseph Racaille
Daisy Bell , Denis Alber
Daisy Belle , The Jacques Brothers
Daisy ! Daisy! , Dick Rivers
Daisy sacred Daisy , Caterina Valente
Daisy Temple , Serge Gainsbourg
Dalila , Martine Baujoud
Delilah , Caesar and the Romans
Dalila , The Classels
Dalilah , Paule Desjardins
Dalilah , Line Monty
Baby Damia , Pierpoljak
My little Damien , A touch of optimism
Damon and Henriette , Garolou
Dan , Barrio Populo
Dan , Sad Sire
Capt'tain Dan , Les Clam's
Dana , L'Algérino feat. Sihem
The tribe of Dana , Manau
Daniel , Michel Delpech
Daniel , Lucien Hétu
Daniel , Marie Laforêt
Daniel , Kevin Parent
Daniel , Diane Tell
Daniel and Nicole , France Cartigny
Daniel my son , Malicorne
Daniel's Ladies , Chris Evans with Lucky Blondo
Big Daniel , Christian Paccoud
Lucie and Daniel , Jeane Manson
Daniéla , Ladies' happiness
Daniéla , Elmer Food Beat
Daniela , Chris Evans
Daniéla , Indigo
Daniéla , Charles Level
Danièle's ring , Zebda
Daniella , Patricia Carli
Daniella , Jérôme Charlebois
Danielle , Jacques Salvail
Danielle leaves , C. Jérôme
Danny Wilde , The Innocents
Danny boy , Claude Goaty
Danny boy , Claude Piron
Oh Danny boy , Laurence Jalbert
Dany , Michel Caron
Dany , Édith Piaf
Dany , The Pirates
Doctor Dany , Dany
Miss Dany , Lévis Bouliane
Dear Danyel , Danyel Gérard
Daphne , Amir
Daphne , Travis Bürki
Darina , Sylvie Vartan
If you go Dario , Carlos
Darlene , Askehoug
Daryl , Sinik
Dave , Gwenwed
Dave the Indian , Vincent Caza
David , Didier Barbelivien
David , Nicole Croisille
David , Pierre Tisserand
David and Goliath , Martin Giroux
David song , Gérard Depardieu with Barbara
Like David , Gil Bernard
Song for David , Georges Chelon
Nina and David at the North Pole , Geneviève Laloy
King David , Sylvie Vartan
Immaterial Daynise , Plume Latraverse
My name is Daysie , Colette Renard
Déa's song , Juliette
Debbie , Christophe Cirillo
Debbie , Candie Plum
Debbie , Damien Saez
La Belle Debbie , Francis Cabrel
Debora , Mannick
Deborah , Claude François
Deborah , Colette Renard
Deborah , Michel Sardou
Lullaby for Deborah , Marie Laforêt
Dear Deborah , Gangsters of Love
Dede , Luc Barney
Dede , Michèle Bernard
Dede , The Colocs
Dede , Aimé Doniat
Dédé , Marcel and his Orchestra
Dede , The Nomads
Dede Bilo , Carlos
Dédé heart of rock , Jean Bretonnière
Dédé walks , Jacques Serizier
Dede get by , Robert Ripa
Dédé the convenience store , Plume Latraverse
Dede the kid , Joe Dassin
Dédé de Montmartre , Francis Lemarque
The comics of Dédé , Gérald Genty
The cash desk in Dédé , Les Fatals Picards
From Dédé to Mimi , Isabelle Mayereau
Mr Dédé or M'sieur Dédé , Claude Léveillée
What a strange idea he had Dede ! , Mr. Noh
La tire à Dédé , Renaud
The waltz to Dédé , Yvon Étienne
The waltz at Dédé de Montmartre , Georgette Plana
My Debt , Niobé
Dehbiah , Amar Sundy
Déline , Garolou
Delphine , Henri Garat
The song of Delphine , Clara Luciani with Vladimir Cauchemar
Delvina the hen , Carmen Campagne
Denia , Zen Zila
Denis , Najoua Belyzel
Denis , Les Blérots de RAVEL
Denis , Blondie
